key,en,fr,it,de,es,tr,tl,ru,ja,pt-br,tok,mis-edikan,mis-meow
Splash.Title,Down2Jam,Down2Jam,Down2Jam,,,Down2Jam,Down2Jam,Down2Jam,ダウン2ジャム,Down2Jam,,,Meow
Splash.Description,The community centered game jam,,La game jam incentrata sulla comunità,,,Topluluk odaklı game jam,Game Jam para sa komunidad,Комьюнити-центричный геймджем,,O game jam centrado na comunidade,,,Meow meow meow meow meow
Splash.Join,Join,,Partecipa,,,Katıl,Salin na,Участвовать,,Participar,,kyo,Meow
Splash.About,About,,Info,,,Hakkında,About,О джеме,,Sobre,,,Meow
Splash.Why,Why Jam?,,Perché una Jam?,,,Neden jam yaparız?,Bakit hindi mag jam?,Зачем джемить?,,Por que participar?,,,Meow meow?
Splash.Logo,Down2Jam logo,,Logo Down2Jam,,,Down2Jam logosu,Down2Jam logo,Лого Down2Jam,,Logo do Down2Jam,,,Meow meow
Splash.Explore,Explore,,Esplora,,,Keşfet,Tuklasin,Исследовать,,Explorar,,,Meow
Navbar.Games.Title,Games,Jeux,Giochi,,,Oyunlar,Games,Игры,,Jogos,,loka,Meow
Navbar.Games.Description,All submitted games to the website,,Tutti i giochi caricati sul sito,,,Web sitesine gönderilen tüm oyunlar,Lahat nang games na sumali sa website,Все игры поданные на сайт,,Todos jogos enviados para o site,,,Meow meow meow meow meow meow
Navbar.Results.Title,Results,Résultats,Risultati,,,Sonuçlar,Resulta,Результаты,,Resultados,,nema,Meow
Navbar.Results.Description,The results of the last D2Jam,,I risultati dell'ultima D2Jam,,,Son D2Jam'in sonuçları,Lahat nang resulta galing sa huling D2Jam,Результаты последнего D2Jam,,Os resultados do último D2Jam,,,Meow meow meow meow meow meow
Navbar.Forum.Title,Forum,,Forum,,,Forum,Forum,Форум,,Fórum,,makona,Meow
Navbar.Forum.Description,A forum for members of the community to chat with each other in,,Un forum in cui i membri della community possono parlare tra loro,,,Topluluk üyelerinin birbirleriyle konuşabileceği bir forum,Lugar kung saan makakapag-chat ang mga miyembro nang komunidad,"Форум для членов сообщества, чтобы между собой общаться",,Um fórum para conversar com os membros da comunidade,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow
Navbar.Join.Title,Join,,Unisciti,,,Katıl,Salin na,Участвовать,,Participar,,kyo,Meow
Navbar.Join.Description,Join the website by making or logging into an account,,Unisciti al sito web creando un account o accedendo,,,Giriş yaparak veya hesap yaratarak web sitesini görüntüle,Mag log-in o gumawa nang bagong account para sumama sa website,"Создайте и войдите в свой аккаунт, чтобы участвовать",,Participe no site cadastrando-se ou entrando em uma conta,,,Meow meow meow meow meow meow meow meow meow meow
Navbar.About.Title,About,,Info,,,Hakkında,About,О джеме,,Sobre,,ivera,Meow
Navbar.About.Description,Information about the game jam,,Informazioni sulla game jam,,,Game Jam hakkında bilgiler,Impormasyon tungkol sa game jam,Информация о геймджеме,,Informações sobre o game jam,,,Meow meow meow meow meow
Navbar.Donate.Title,Donate,,Dona,,,Bağış,Donate,Задонатить,寄付,Doar,,zeba,Meow
